,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
371,PSYC_S0191886919306786,1713,242,121,81,83,95,65,80,32,55,23,13,15,12,9,11,15,5,0,3
372,PSYC_S0272494415300487,3108,550,178,104,151,105,182,99,47,66,30,24,51,15,11,17,15,8,9,6
373,PSYC_S0272494419302154,1489,216,133,68,44,77,46,50,23,31,41,6,20,11,13,11,8,2,1,3
374,PSYC_S1053810017302775,4996,433,332,213,261,280,136,40,65,146,50,133,45,40,66,27,27,44,15,2
375,PSYC_S1053810018302514,3112,497,107,168,62,168,139,85,63,69,48,46,43,30,15,78,9,19,10,14
376,PSYC_S1469029218305181,2494,480,251,76,163,114,82,89,48,42,61,15,14,12,8,13,9,10,0,0
377,PSYC_S1755458616300974,4983,732,179,141,133,86,131,137,14,51,46,29,47,30,15,19,6,6,7,4
378,PSYC_S2352250X16302007,1488,398,48,61,25,60,62,38,27,29,14,3,15,11,7,3,7,3,1,0
379,PSYC_S2352250X18300988,1348,400,30,46,50,50,29,34,11,39,17,10,12,8,9,7,8,6,1,2
380,SOCI_S0016718515000500,5151,905,571,150,192,83,128,191,22,53,207,44,38,27,30,40,5,4,8,11
381,SOCI_S0016718515300385,5745,898,262,199,149,84,173,173,27,55,74,64,38,70,30,63,15,6,2,12
382,SOCI_S0016718517301082,5086,708,208,146,135,145,207,147,30,90,116,25,35,61,23,28,13,5,12,33
383,SOCI_S0016718517303421,4675,714,378,201,119,126,119,190,57,82,72,98,54,49,20,60,29,2,15,12
384,SOCI_S0016718518300022,4766,809,360,172,171,155,302,186,50,111,133,22,73,41,20,39,9,10,18,24
385,SOCI_S026137941830146X,2679,445,184,102,102,110,51,50,24,38,192,33,21,11,15,26,20,9,17,3
386,SOCI_S0261379418302257,4759,918,609,198,88,240,174,141,112,118,276,60,32,44,18,57,24,32,1,13
387,SOCI_S0277539515301783,4417,934,508,201,199,129,190,139,75,48,177,97,30,33,22,34,30,5,18,7
388,SOCI_S027753951730420X,3471,694,365,139,125,131,149,223,38,60,170,35,29,24,17,14,20,6,9,3
389,SOCI_S0305900614000361,17782,2651,954,732,501,517,566,1229,160,318,600,399,198,190,162,105,65,51,27,30
390,SOCI_S0738059314001126,3265,669,182,128,183,115,99,159,59,61,55,26,25,31,37,21,5,6,8,0
391,SOCI_S0740624X17303271,4661,1015,230,180,97,168,108,180,118,65,185,45,41,22,26,26,22,5,29,8
392,SOCI_S0742051X17302858,5470,1152,518,173,245,167,69,323,81,38,98,69,33,28,29,7,13,13,21,5
393,SOCI_S0742051X18314100,4936,897,461,196,157,165,120,177,93,81,168,66,24,34,42,49,31,9,10,7
394,SOCI_S0743016716302790,2542,585,102,110,41,170,65,183,56,50,140,33,26,8,2,21,20,16,3,1
395,SOCI_S0967070X1530041X,5790,1003,244,247,330,165,164,225,89,96,128,66,46,52,26,45,16,9,11,2
396,SOCI_S0967070X16301469,5281,972,308,233,293,96,89,164,34,107,108,94,29,24,35,7,17,18,9,4
397,SOCI_S0967070X17305000,5024,806,181,199,181,159,297,244,37,146,115,87,37,37,41,25,15,12,5,1
398,SOCI_S104026081630034X,4654,638,327,168,243,154,105,209,74,75,74,19,29,33,47,120,16,9,5,1
399,SOCI_S1353829216305056,2435,317,191,56,71,72,109,45,146,25,48,16,27,9,7,1,18,4,3,2
